chain,mode,k,n_events,latency_s,tok_per_s,choice,confidence,p_level_1_mild,p_level_2_moderate,p_level_3_severe,p_level_4_critical,p_level_5_catastrophic
slow_burn,tail,26,26,1.916,43.3,level_4_critical,0.44,0.0,0.0,0.44,0.56,0.0
interleaved,lead,1,22,1.692,48.5,level_1_mild,0.98,0.99,0.01,0.0,0.0,0.0
interleaved,lead,2,22,1.66,49.4,level_3_severe,0.48,0.2,0.21,0.59,0.0,0.0
interleaved,lead,3,22,1.86,44.1,level_1_mild,0.48,0.58,0.19,0.23,0.0,0.0
interleaved,lead,4,22,1.712,47.9,level_3_severe,0.93,0.01,0.04,0.95,0.0,0.0
interleaved,lead,5,22,2.383,34.4,level_3_severe,0.85,0.03,0.09,0.88,0.0,0.0
interleaved,lead,6,22,1.939,42.3,level_3_severe,0.96,0.0,0.01,0.97,0.02,0.0
interleaved,lead,7,22,1.711,47.9,level_3_severe,0.94,0.01,0.03,0.95,0.01,0.0
interleaved,lead,8,22,1.844,44.5,level_3_severe,0.95,0.01,0.03,0.95,0.01,0.0
interleaved,lead,9,22,1.859,44.1,level_3_severe,0.93,0.01,0.04,0.94,0.01,0.0
interleaved,lead,10,22,1.614,50.8,level_3_severe,0.55,0.0,0.01,0.65,0.34,0.0
interleaved,lead,11,22,1.639,50.0,level_3_severe,0.78,0.01,0.02,0.82,0.15,0.0
interleaved,lead,12,22,1.968,42.2,level_4_critical,0.65,0.0,0.0,0.28,0.72,0.0
interleaved,lead,13,22,2.027,40.9,level_4_critical,0.61,0.0,0.0,0.31,0.69,0.0
interleaved,lead,14,22,1.644,50.5,level_4_critical,0.97,0.0,0.0,0.02,0.98,0.0
interleaved,lead,15,22,1.652,50.2,level_4_critical,0.96,0.0,0.0,0.03,0.97,0.0
interleaved,lead,16,22,1.981,41.9,level_4_critical,0.93,0.0,0.0,0.05,0.95,0.0
interleaved,lead,17,22,1.574,52.7,level_4_critical,0.91,0.0,0.0,0.06,0.94,0.0
interleaved,lead,18,22,1.674,49.6,level_4_critical,0.92,0.0,0.0,0.06,0.94,0.0
interleaved,lead,19,22,1.565,53.0,level_4_critical,0.91,0.0,0.0,0.07,0.93,0.0
interleaved,lead,20,22,1.757,47.2,level_4_critical,0.93,0.0,0.0,0.05,0.95,0.0
interleaved,lead,21,22,1.761,47.1,level_4_critical,0.91,0.0,0.0,0.07,0.93,0.0
interleaved,lead,22,22,2.35,35.3,level_4_critical,0.9,0.0,0.0,0.07,0.92,0.01
interleaved,tail,1,22,1.507,54.4,level_1_mild,0.99,1.0,0.0,0.0,0.0,0.0
interleaved,tail,2,22,1.845,44.4,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
interleaved,tail,3,22,1.583,51.8,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
interleaved,tail,4,22,1.69,48.5,level_1_mild,0.97,0.98,0.02,0.0,0.0,0.0
interleaved,tail,5,22,1.642,49.9,level_1_mild,0.98,0.99,0.01,0.0,0.0,0.0
interleaved,tail,6,22,1.755,46.7,level_1_mild,0.98,0.99,0.01,0.0,0.0,0.0
interleaved,tail,7,22,2.325,35.3,level_1_mild,0.97,0.98,0.02,0.0,0.0,0.0
interleaved,tail,8,22,1.995,41.1,level_1_mild,0.98,0.99,0.01,0.0,0.0,0.0
interleaved,tail,9,22,1.734,47.9,level_2_moderate,0.4,0.43,0.52,0.01,0.04,0.0
interleaved,tail,10,22,1.719,47.7,level_1_mild,0.39,0.52,0.45,0.01,0.02,0.0
interleaved,tail,11,22,1.162,71.4,level_4_critical,0.55,0.0,0.01,0.35,0.64,0.0
interleaved,tail,12,22,1.158,71.7,level_4_critical,0.66,0.0,0.0,0.26,0.74,0.0
interleaved,tail,13,22,1.276,65.1,level_4_critical,0.7,0.0,0.0,0.24,0.76,0.0
interleaved,tail,14,22,1.324,62.7,level_4_critical,0.56,0.0,0.0,0.35,0.65,0.0
interleaved,tail,15,22,1.95,42.6,level_4_critical,0.8,0.0,0.0,0.15,0.85,0.0
interleaved,tail,16,22,2.001,41.5,level_4_critical,0.82,0.0,0.0,0.14,0.86,0.0
interleaved,tail,17,22,1.649,50.3,level_4_critical,0.9,0.0,0.0,0.07,0.93,0.0
interleaved,tail,18,22,2.236,37.1,level_4_critical,0.89,0.0,0.0,0.08,0.92,0.0
interleaved,tail,19,22,2.052,40.4,level_4_critical,0.91,0.0,0.0,0.06,0.94,0.0
interleaved,tail,20,22,1.951,42.5,level_4_critical,0.9,0.0,0.0,0.07,0.92,0.01
interleaved,tail,21,22,2.112,39.3,level_4_critical,0.9,0.0,0.0,0.08,0.92,0.0
interleaved,tail,22,22,1.672,49.6,level_4_critical,0.9,0.0,0.0,0.07,0.92,0.01
reordered,lead,1,12,1.674,49.0,level_3_severe,0.81,0.0,0.0,0.85,0.15,0.0
reordered,lead,2,12,1.763,47.1,level_4_critical,0.71,0.0,0.0,0.22,0.77,0.01
reordered,lead,3,12,2.452,33.8,level_4_critical,0.93,0.0,0.0,0.05,0.94,0.01
reordered,lead,4,12,2.001,41.5,level_4_critical,0.92,0.0,0.0,0.06,0.94,0.0
reordered,lead,5,12,1.538,54.0,level_4_critical,0.92,0.0,0.0,0.06,0.93,0.01
reordered,lead,6,12,2.086,39.8,level_4_critical,0.9,0.0,0.0,0.07,0.92,0.01
reordered,lead,7,12,1.554,53.4,level_4_critical,0.93,0.0,0.0,0.05,0.95,0.0
reordered,lead,8,12,1.565,53.0,level_4_critical,0.93,0.0,0.0,0.05,0.94,0.01
reordered,lead,9,12,1.717,48.3,level_4_critical,0.91,0.0,0.0,0.06,0.93,0.01
reordered,lead,10,12,1.761,47.1,level_4_critical,0.91,0.0,0.0,0.07,0.92,0.01
reordered,lead,11,12,1.633,50.8,level_4_critical,0.9,0.0,0.0,0.07,0.92,0.01
reordered,lead,12,12,1.711,48.5,level_4_critical,0.87,0.0,0.0,0.09,0.9,0.01
long_benign,lead,1,30,1.635,50.2,level_1_mild,0.98,0.98,0.02,0.0,0.0,0.0
long_benign,lead,2,30,2.174,37.7,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,3,30,1.849,44.3,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,4,30,2.029,40.4,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,5,30,1.709,48.0,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,6,30,1.622,50.5,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,7,30,1.748,46.9,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,8,30,1.817,45.1,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,9,30,1.689,48.5,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,10,30,1.653,49.6,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,11,30,1.62,50.6,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,12,30,1.68,48.8,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,13,30,1.507,54.4,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,14,30,1.659,49.4,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,15,30,1.54,53.2,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,16,30,1.995,41.1,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,17,30,1.713,47.9,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,18,30,1.94,42.3,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,19,30,1.927,42.6,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,20,30,1.864,44.0,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,21,30,1.688,48.6,level_1_mild,0.99,0.99,0.01,0.0,0.0,0.0
long_benign,lead,22,30,1.654,49.6,level_1_mild,0.99,0.99,0.01,0.0,0.0,0.0
long_benign,lead,23,30,1.613,50.8,level_1_mild,0.99,1.0,0.0,0.0,0.0,0.0
long_benign,lead,24,30,1.684,48.7,level_1_mild,0.99,1.0,0.0,0.0,0.0,0.0
long_benign,lead,25,30,1.687,48.6,level_1_mild,1.0,1.0,0.0,0.0,0.0,0.0
long_benign,lead,26,30,1.609,51.0,level_1_mild,0.99,1.0,0.0,0.0,0.0,0.0
long_benign,lead,27,30,1.94,42.3,level_1_mild,0.99,0.99,0.01,0.0,0.0,0.0
long_benign,lead,28,30,2.061,39.8,level_1_mild,0.99,0.99,0.01,0.0,0.0,0.0
long_benign,lead,29,30,1.882,43.6,level_1_mild,0.99,0.99,0.01,0.0,0.0,0.0
long_benign,lead,30,30,1.807,45.4,level_1_mild,0.99,0.99,0.01,0.0,0.0,0.0
